X_train: (10506, 30000)
y_train: (10506, 2)
X_val: (3502, 30000)
y_val: (3502, 2)
X_test: (3502, 30000)
y_test: (3502, 2)
Epoch 1: cost 0.3419718065919065, accuracy: 64.42033123929183
Epoch 2: cost 0.32525127372996904, accuracy: 64.62021701884638
Epoch 3: cost 0.3142118046552478, accuracy: 65.41976013706453
Epoch 4: cost 0.31065536629600704, accuracy: 65.33409480296973
Epoch 5: cost 0.2996656195345233, accuracy: 65.76242147344374
Epoch 6: cost 0.29375236871086, accuracy: 66.24785836664763
Epoch 7: cost 0.28704407630203277, accuracy: 66.3049685893775
Epoch 8: cost 0.28185784244171486, accuracy: 67.3043974871502
Epoch 9: cost 0.2742368653444164, accuracy: 67.04740148486579
Epoch 10: cost 0.2663399648666086, accuracy: 67.53283837806967
Epoch 11: cost 0.25995013455781824, accuracy: 67.36150770988006
Epoch 12: cost 0.25257304753199067, accuracy: 67.64705882352942
Epoch 13: cost 0.24528868417805497, accuracy: 68.33238149628784
Epoch 14: cost 0.2381555629230574, accuracy: 69.16047972587093
Epoch 15: cost 0.2315647959518634, accuracy: 69.98857795545402
Epoch 16: cost 0.22377511020185636, accuracy: 70.35979440319818
Epoch 17: cost 0.21609539033254851, accuracy: 70.07424328954883
Epoch 18: cost 0.210726007982931, accuracy: 70.33123929183324
Epoch 19: cost 0.20109128243343058, accuracy: 71.61621930325528
Epoch 20: cost 0.1960592610299364, accuracy: 72.18732153055397
Epoch 21: cost 0.1922262242567365, accuracy: 72.10165619645916
Epoch 22: cost 0.18316155062314673, accuracy: 68.70359794403198
Epoch 23: cost 0.1742984262802267, accuracy: 73.75785265562536
Epoch 24: cost 0.16886186481994114, accuracy: 74.67161621930326
Epoch 25: cost 0.16355999075147865, accuracy: 73.38663620788121
Epoch 26: cost 0.15755539013512948, accuracy: 74.67161621930326
Epoch 27: cost 0.15087639224629062, accuracy: 74.92861222158767
